PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
RAVENSWOOD PLAYGROUND,QUEENS       ,2.76 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,1 ,0,0,0,0,1 ,2 ,1 ,0,1,1
GORMAN PLAYGROUND,QUEENS       ,2.76 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LOUIS CUVILLIER PARK,MANHATTAN    ,2.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GRACE PLAYGROUND,BROOKLYN     ,2.74 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,2 ,1 ,1,0,1
GREEN CENTRAL KNOLL,BROOKLYN     ,2.74 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.72 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
HOLY COW PLAYGROUND,QUEENS       ,2.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BAYSIDE FIELDS,QUEENS       ,2.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HICKMAN PLAYGROUND,BROOKLYN     ,2.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ARBUTUS WOODS PARK,STATEN ISLAND,2.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
STARS & STRIPES PLAYGROUND,BRONX        ,2.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
P.O. SERRANO PLAYGROUND,BRONX        ,2.62 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
COLEMAN PLAYGROUND,MANHATTAN    ,2.61 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS       ,2.60 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
KATHY REILLY TRIANGLE,BROOKLYN     ,2.59 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RIVERDALE PLAYGROUND,BRONX        ,2.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARIE CURIE PARK,QUEENS       ,2.55 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
EDENWALD PLAYGROUND,BRONX        ,2.54 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MURRAY PLAYGROUND,QUEENS       ,2.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BATHGATE PLAYGROUND,BRONX        ,2.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,1 ,0,1 ,0,3 ,0 ,0,0,0,0,0,0,0 ,3 ,1 ,0,1,0
BIG BUSH PARK,QUEENS       ,2.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
JOSEPH RODMAN DRAKE PARK,BRONX        ,2.49 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.48 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ALLEY PARK,QUEENS       ,2.45 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FREDERICK JOHNSON PLAYGROUND,MANHATTAN    ,2.45 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DAMROSCH PARK,MANHATTAN    ,2.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ASSER LEVY PLAYGROUND,MANHATTAN    ,2.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HARRY MAZE PLAYGROUND,BROOKLYN     ,2.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.41 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DUTCH KILLS PLAYGROUND,QUEENS       ,2.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
KOSCIUSZKO POOL,BROOKLYN     ,2.39 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
WEST PLAYGROUND,BROOKLYN     ,2.39 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HOMECREST PLAYGROUND,BROOKLYN     ,2.37 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
DE MATTI PLAYGROUND,STATEN ISLAND,2.34 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
POE PARK,BRONX        ,2.33 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,2 ,1 ,1,0,1
OVERLOOK PARK,QUEENS       ,2.33 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BARUCH PLAYGROUND,MANHATTAN    ,2.32 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
OSBORN PLAYGROUND,BROOKLYN     ,2.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RAILROAD PLAYGROUND,BROOKLYN     ,2.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TRIBORO PLAZA,MANHATTAN    ,2.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
POWER PLAYGROUND,BROOKLYN     ,2.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,2 ,0,0,0,2 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,0,1,0
MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.29 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.29 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.29 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,STATEN ISLAND,2.29 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CENTURY PLAYGROUND,BROOKLYN     ,2.28 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.26 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
NORTH SHORE ESPLANADE,STATEN ISLAND,2.25 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.25 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
VLEIGH PLAYGROUND,QUEENS       ,2.24 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LAREDO AVENUE PARCEL,STATEN ISLAND,2.22 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FREDERICK B. JUDGE PLAYGROUND,QUEENS       ,2.22 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
BELMONT PLAYGROUND BRONX,BRONX        ,2.21 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,0,0
MAHONEY PLAYGROUND,STATEN ISLAND,2.21 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ANCHORAGE PLAZA,BROOKLYN     ,2.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ASTORIA HEIGHTS PLAYGROUND,QUEENS       ,2.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HOYT PLAYGROUND,QUEENS       ,2.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LORETO PLAYGROUND,BRONX        ,2.18 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HARDING PARK,BRONX        ,2.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WASHINGTON MARKET PARK,MANHATTAN    ,2.15 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
VIDALIA PARK,BRONX        ,2.14 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
UNNAMED PARK ON E 122ND STREET,MANHATTAN    ,2.13 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BRIDGE PARK BROOKLYN,BROOKLYN     ,2.12 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,0,0,2 ,0,2 ,0 ,0,0,0,0,0,0,0 ,3 ,1 ,1,1,0
HAMILTON METZ FIELD,BROOKLYN     ,2.11 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,1 ,0,0,0,0,1 ,2 ,1 ,0,1,1
CARDOZO PLAYGROUND,QUEENS       ,2.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CENTREVILLE PLAYGROUND,QUEENS       ,2.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
REDFERN PLAYGROUND,QUEENS       ,2.09 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.09 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
STORY PLAYGROUND,BRONX        ,2.08 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
SAKURA PARK,MANHATTAN    ,2.07 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LINNAEUS PARK,QUEENS       ,2.07 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CASTLEWOOD PLAYGROUND,QUEENS       ,2.06 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SKYLINE PLAYGROUND,STATEN ISLAND,2.06 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CLOVE'S TAIL,STATEN ISLAND,2.06 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DANIEL M. O'CONNELL PLAYGROUND,QUEENS       ,2.04 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
CHALLENGE PLAYGROUND,QUEENS       ,2.04 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TORSNEY PLAYGROUND,QUEENS       ,2.03 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LOCUST MANOR PLAYGROUND,QUEENS       ,2.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FULTON PARK,BROOKLYN     ,1.99 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,2 ,0,0,1 ,0,3 ,3 ,1 ,0,0,1
ANDREW HASWELL GREEN PARK,MANHATTAN    ,1.98 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MOORE HOMESTEAD PLAYGROUND,QUEENS       ,1.98 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,2 ,1 ,0,0,0,3 ,0 ,0,1 ,0,0,0,0,1 ,4 ,1 ,0,1,1
MCLAUGHLIN PARK,BROOKLYN     ,1.98 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.97 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
SUMNER PLAYGROUND,BROOKLYN     ,1.97 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ROSEMARY'S PLAYGROUND,QUEENS       ,1.97 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
SAUL WEPRIN PLAYGROUND,QUEENS       ,1.96 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FREDERICK DOUGLASS PLAYGROUND,MANHATTAN    ,1.95 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
UNNAMED PARK ON HEMPSTEAD AVENUE,QUEENS       ,1.94 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BRIDGE PARK 3,BROOKLYN     ,1.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
THE PAINTER'S PLAYGROUND,QUEENS       ,1.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TERRACE PLAYGROUND,STATEN ISLAND,1.92 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TRAVERS PARK,QUEENS       ,1.92 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,2 ,1 ,1,0,1
BUFANO PARK,BRONX        ,1.90 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DIMATTINA PLAYGROUND,BROOKLYN     ,1.90 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.89 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GORMAN PARK,MANHATTAN    ,1.89 ,ONE ACRE OR LARGER,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,3 ,1 ,1,0,1
WILLIS PLAYGROUND,BRONX        ,1.88 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WEST BRONX RECREATION CENTER,BRONX        ,1.88 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
THOMAS PAINE PARK,MANHATTAN    ,1.88 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CARROLL PARK,BROOKLYN     ,1.87 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
COLGATE CLOSE,BRONX        ,1.87 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
